"PK_ACTVTY";"FPK_NATURA";"SITECODE";"ACT_CODE";"DESCRIPT_FR";"IN_OUT";"INTENSITY";"INFLUENCE";"POLLUTION";"HABITATS";"ESPECES"
"10065";"2786";"FR7300850";"G01.01";"Sports nautiques";"I";"N";"x";;;
"10066";"2786";"FR7300850";"G01.03";"Véhicules motorisés";"I";"N";"x";;;
"10067";"2786";"FR7300850";"G01.04";"Alpinisme, escalade, spéléologie";"I";"N";"x";;;
"10068";"2786";"FR7300850";"G01.08";"Autres activités de plein air et de loisirs";"I";"N";"x";;;
"10069";"2786";"FR7300850";"G05";"Autres intrusions et perturbations humaines";"I";"N";"x";;;
"10070";"2786";"FR7300850";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"I";"N";"x";;;
"10071";"2786";"FR7300850";"L08";"Inondation (processus naturels)";"I";"N";"x";;;
"10072";"2786";"FR7300850";"L09";"Incendie (naturel)";"I";"N";"x";;;
"10073";"2787";"FR7300851";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"N";"x";;;
"10074";"2787";"FR7300851";"A04";"Pâturage";"I";"N";"x";;;
"10075";"2787";"FR7300851";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"N";"x";;;
"10076";"2787";"FR7300851";"A05.01";"Elevage";"I";"N";"x";;;
"10077";"2787";"FR7300851";"B";"Sylviculture et opérations forestières";"I";"N";"x";;;
"10078";"2787";"FR7300851";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"N";"x";;;
"10079";"2787";"FR7300851";"C01.04";"Mines";"I";"N";"x";;;
"10080";"2787";"FR7300851";"D01.02";"Routes, autoroutes";"I";"N";"x";;;
"10081";"2787";"FR7300851";"D01.05";"Pont, viaduc";"I";"N";"x";;;
"10082";"2787";"FR7300851";"F02.03";"Pêche de loisirs";"I";"N";"x";;;
"10083";"2787";"FR7300851";"F03.01";"Chasse";"I";"N";"x";;;
"10084";"2787";"FR7300851";"F03.02.02";"Capture dans le nid (ex. désairage de rapaces)";"I";"N";"x";;;
"10085";"2787";"FR7300851";"F03.02.03";"Piégeage, empoisonnement, braconnage";"I";"N";"x";;;
"10086";"2787";"FR7300851";"G01.01";"Sports nautiques";"I";"N";"x";;;
"10087";"2787";"FR7300851";"G01.03";"Véhicules motorisés";"I";"N";"x";;;
"10088";"2787";"FR7300851";"G01.04";"Alpinisme, escalade, spéléologie";"I";"N";"x";;;
"10089";"2787";"FR7300851";"G01.08";"Autres activités de plein air et de loisirs";"I";"N";"x";;;
"10090";"2787";"FR7300851";"G05";"Autres intrusions et perturbations humaines";"I";"N";"x";;;
"10091";"2787";"FR7300851";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"I";"N";"x";;;
"10092";"2787";"FR7300851";"J02.12";"Endigages, remblais, plages artificielles";"I";"N";"x";;;
"10093";"2787";"FR7300851";"L09";"Incendie (naturel)";"I";"N";"x";;;
"64784";"7892";"FR9112002";"A04";"Pâturage";"I";"H";"+";;;
"64785";"7892";"FR9112002";"J01.01";"Incendies";"I";"M";"+";;;
"64786";"7892";"FR9112002";"A06.04";"Arrêt de la mise en culture d'une parcelle";"I";"M";"+";;;
"64787";"7892";"FR9112002";"A10";"Remembrement agricole";"I";"M";"-";;;
"64788";"7892";"FR9112002";"J02";"Changements des conditions hydrauliques induits par l'homme";"I";"L";"-";;;
"64789";"7892";"FR9112002";"B02.02";"Coupe forestière (éclaircie, coupe rase…)";"I";"L";"-";;;
"64790";"7892";"FR9112002";"J03";"Autres modifications des écosystèmes";"I";"L";"-";;;
"64791";"7892";"FR9112002";"A03.02";"Fauche non intensive";"I";"L";"+";;;
"64792";"7892";"FR9112002";"F02.03";"Pêche de loisirs";"I";"L";"+";;;
"64793";"7892";"FR9112002";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"64794";"7892";"FR9112002";"A07";"Utilisation de biocides, d'hormones et de produits chimiques";"I";"H";"-";;;
"64795";"7893";"FR9112003";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"64796";"7893";"FR9112003";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"L";"-";;;
"64797";"7893";"FR9112003";"D02.01";"Lignes électriques et téléphoniques";"I";"H";"-";;;
"64798";"7893";"FR9112003";"E02.03";"Autres zones industrielles / commerciales";"I";"H";"-";;;
"64799";"7893";"FR9112003";"G01.04";"Alpinisme, escalade, spéléologie";"I";"H";"-";;;
"64800";"7894";"FR9112004";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"I";"L";"+";;;
"64801";"7894";"FR9112004";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"64802";"7894";"FR9112004";"D02.01";"Lignes électriques et téléphoniques";"I";"H";"-";;;
"64803";"7894";"FR9112004";"E02.03";"Autres zones industrielles / commerciales";"I";"H";"-";;;
"64804";"7894";"FR9112004";"G01.04";"Alpinisme, escalade, spéléologie";"I";"H";"-";;;
"64805";"7895";"FR9112005";"E01.01";"Urbanisation continue";"I";"H";"-";;;
"64806";"7895";"FR9112005";"H05.01";"Ordures ménagères et déchets solides";"I";"M";"-";;;
"64807";"7895";"FR9112005";"E01.04";"Autres formes d'habitations";"I";"M";"-";;;
"64808";"7895";"FR9112005";"G01.03";"Véhicules motorisés";"I";"H";"-";;;
"64809";"7895";"FR9112005";"G05.01";"Piétinement, surfréquentation";"I";"H";"-";;;
"64810";"7895";"FR9112005";"K01.01";"Erosion";"I";"M";"-";;;
"64811";"7895";"FR9112005";"K01.02";"Envasement";"I";"L";"-";;;
"64812";"7895";"FR9112005";"I01";"Espèces exotiques envahissantes";"I";"H";"-";;;
"64813";"7895";"FR9112005";"A03";"Fauche de prairies";"I";"M";"+";;;
"64814";"7895";"FR9112005";"D01.02";"Routes, autoroutes";"O";"M";"-";;;
"64815";"7895";"FR9112005";"D01.04";"Voie ferrée, TGV";"O";"M";"-";;;
"64816";"7895";"FR9112005";"E01";"Zones urbanisées, habitations";"O";"M";"-";;;
"64817";"7895";"FR9112005";"G01.01";"Sports nautiques";"I";"M";"-";;;
"64818";"7895";"FR9112005";"J01.01";"Incendies";"I";"M";"-";;;
"64819";"7895";"FR9112005";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"M";"-";;;
"64820";"7895";"FR9112005";"A04";"Pâturage";"I";"L";"+";;;
"64821";"7895";"FR9112005";"F01";"Aquaculture (eau douce et marine)";"I";"M";"-";;;
"64822";"7895";"FR9112005";"F02.03";"Pêche de loisirs";"I";"L";"-";;;
"64823";"7896";"FR9112006";"E04";"Bâtiments, constructions dans le paysage";"I";"H";"-";;;
"64824";"7896";"FR9112006";"J02.13";"Abandon de la gestion des plans d'eau";"I";"L";"-";;;
"64825";"7896";"FR9112006";"A04.01";"Pâturage intensif";"I";"M";"-";;;
"64826";"7896";"FR9112006";"F03.01";"Chasse";"I";"M";"-";;;
"64827";"7896";"FR9112006";"G01.08";"Autres activités de plein air et de loisirs";"I";"M";"-";;;
"64828";"7896";"FR9112006";"G02.04";"Circuit, piste";"I";"M";"-";;;
"64829";"7896";"FR9112006";"K01.04";"Submersion";"I";"M";"-";;;
"64830";"7896";"FR9112006";"A07";"Utilisation de biocides, d'hormones et de produits chimiques";"B";"H";"-";;;
"64831";"7896";"FR9112006";"C03.03";"Production d'énergie éolienne";"I";"H";"-";;;
"64832";"7896";"FR9112006";"G01";"Sports de plein air et activités de loisirs et récréatives";"B";"H";"-";;;
"64833";"7896";"FR9112006";"H06.01";"Nuisance et pollution sonores";"I";"L";"-";;;
"64834";"7896";"FR9112006";"A07";"Utilisation de biocides, d'hormones et de produits chimiques";"O";"H";"-";;;
"64835";"7896";"FR9112006";"E01";"Zones urbanisées, habitations";"O";"M";"-";;;
"64836";"7896";"FR9112006";"G02";"Structures de sports et de loisirs";"O";"M";"-";;;
"64837";"7896";"FR9112006";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"O";"M";"-";;;
"64838";"7896";"FR9112006";"J02.04";"Modifications du régime de mise en eau";"I";"L";"-";;;
"64839";"7896";"FR9112006";"K01.03";"Assèchement";"I";"L";"-";;;
"64840";"7896";"FR9112006";"K01.05";"Salinisation des sols";"I";"L";"-";;;
"10149";"2793";"FR7300859";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"L";"-";;;
"10150";"2793";"FR7300859";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"I";"M";"-";;;
"10151";"2793";"FR7300859";"A04";"Pâturage";"I";"L";"+";;;
"10152";"2793";"FR7300859";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"L";"-";;;
"10153";"2793";"FR7300859";"A05.01";"Elevage";"I";"L";"+";;;
"10154";"2793";"FR7300859";"B";"Sylviculture et opérations forestières";"I";"L";"x";;;
"10155";"2793";"FR7300859";"C01.01.01";"Carrières de sable et graviers";"I";"L";"x";;;
"10156";"2793";"FR7300859";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"L";"x";;;
"10157";"2793";"FR7300859";"D01.02";"Routes, autoroutes";"I";"L";"x";;;
"10158";"2793";"FR7300859";"D02.01";"Lignes électriques et téléphoniques";"I";"L";"x";;;
"10159";"2793";"FR7300859";"F03.01";"Chasse";"I";"M";"x";;;
"10160";"2793";"FR7300859";"G01.03";"Véhicules motorisés";"I";"L";"-";;;
"10161";"2793";"FR7300859";"G01.04";"Alpinisme, escalade, spéléologie";"I";"M";"x";;;
"10162";"2793";"FR7300859";"K05.01";"Diminution de la fécondité / dépression génétique chez les animaux (consanguinité)";"I";"M";"x";;;
"64841";"7896";"FR9112006";"C01.05";"Salines";"I";"H";"+";;;
"64842";"7896";"FR9112006";"A06.04";"Arrêt de la mise en culture d'une parcelle";"I";"H";"+";;;
"64843";"7897";"FR9112007";"A08";"Fertilisation";"B";"M";"-";;;
"64844";"7897";"FR9112007";"A04.01";"Pâturage intensif";"I";"M";"-";;;
"64845";"7897";"FR9112007";"A03.03";"Abandon / Absence de fauche";"I";"M";"-";;;
"64846";"7897";"FR9112007";"A06.04";"Arrêt de la mise en culture d'une parcelle";"I";"M";"+";;;
"64847";"7897";"FR9112007";"F03.01";"Chasse";"I";"M";"-";;;
"64848";"7897";"FR9112007";"K01.05";"Salinisation des sols";"I";"M";"-";;;
"64849";"7897";"FR9112007";"D03";"Voies de navigation, ports et constructions maritimes";"I";"H";"-";;;
"10175";"2795";"FR7300861";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"M";"x";;;
"10176";"2795";"FR7300861";"A04";"Pâturage";"I";"H";"+";;;
"10177";"2795";"FR7300861";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"L";"+";;;
"10178";"2795";"FR7300861";"A05.01";"Elevage";"I";"H";"+";;;
"10179";"2795";"FR7300861";"F03.01";"Chasse";"I";"M";"x";;;
"10180";"2795";"FR7300861";"G01.03";"Véhicules motorisés";"I";"N";"x";;;
"10181";"2795";"FR7300861";"L09";"Incendie (naturel)";"I";"N";"x";;;
"10182";"2796";"FR7300862";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"L";"x";;;
"10183";"2796";"FR7300862";"A04";"Pâturage";"I";"L";"+";;;
"10184";"2796";"FR7300862";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"L";"-";;;
"10185";"2796";"FR7300862";"A05.01";"Elevage";"I";"L";"x";;;
"10186";"2796";"FR7300862";"B";"Sylviculture et opérations forestières";"I";"L";"+";;;
"10187";"2796";"FR7300862";"D01.02";"Routes, autoroutes";"I";"N";"x";;;
"10188";"2796";"FR7300862";"F03.01";"Chasse";"I";"M";"x";;;
"10189";"2796";"FR7300862";"F03.02.02";"Capture dans le nid (ex. désairage de rapaces)";"I";"N";"x";;;
"10190";"2796";"FR7300862";"G01.04";"Alpinisme, escalade, spéléologie";"I";"L";"x";;;
"10191";"2796";"FR7300862";"L09";"Incendie (naturel)";"I";"L";"-";;;
"64850";"7897";"FR9112007";"G01.03";"Véhicules motorisés";"I";"H";"-";;;
"64851";"7897";"FR9112007";"K01.03";"Assèchement";"B";"M";"-";;;
"64852";"7897";"FR9112007";"D01.04";"Voie ferrée, TGV";"I";"M";"-";;;
"64853";"7897";"FR9112007";"F06";"Autres activités de chasse, de pêche ou de collecte";"I";"M";"-";;;
"64854";"7897";"FR9112007";"G01.08";"Autres activités de plein air et de loisirs";"I";"M";"-";;;
"30585";"4752";"FR4301328";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"x";;;
"30586";"4752";"FR4301328";"G05";"Autres intrusions et perturbations humaines";"I";"M";"x";;;
"30587";"4753";"FR4301332";"A08";"Fertilisation";"I";"H";"-";;;
"30588";"4753";"FR4301332";"A10.01";"Elimination des haies et bosquets ou des broussailles";"I";"H";"-";;;
"30589";"4753";"FR4301332";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"30590";"4753";"FR4301332";"A03.03";"Abandon / Absence de fauche";"I";"H";"-";;;
"10626";"2835";"FR7300924";"A04";"Pâturage";"I";"M";"+";;;
"10627";"2835";"FR7300924";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"L";"-";;;
"10628";"2835";"FR7300924";"B";"Sylviculture et opérations forestières";"I";"H";"+";;;
"10629";"2835";"FR7300924";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"H";"-";;;
"10630";"2835";"FR7300924";"B02.04";"Elimination des arbres morts ou dépérissants";"I";"H";"-";;;
"10631";"2835";"FR7300924";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"M";"x";;;
"10632";"2835";"FR7300924";"D05";"Amélioration de l'accessibilité au site";"I";"M";"x";;;
"10633";"2835";"FR7300924";"E02.03";"Autres zones industrielles / commerciales";"I";"H";"x";;;
"10634";"2835";"FR7300924";"E04.01";"Bâtiments agricoles, constructions dans le paysage";"I";"H";"x";;;
"10635";"2835";"FR7300924";"E05";"Stockage de matériaux";"I";"H";"x";;;
"10636";"2835";"FR7300924";"F02.03";"Pêche de loisirs";"I";"M";"x";;;
"10637";"2835";"FR7300924";"F06";"Autres activités de chasse, de pêche ou de collecte";"I";"L";"-";;;
"10638";"2835";"FR7300924";"G01.02";"Randonnée, équitation et véhicules non-motorisés";"I";"L";"x";;;
"10639";"2835";"FR7300924";"G01.04";"Alpinisme, escalade, spéléologie";"I";"H";"x";;;
"10640";"2835";"FR7300924";"G01.06";"Ski, ski hors-piste";"I";"M";"x";;;
"10641";"2835";"FR7300924";"G01.08";"Autres activités de plein air et de loisirs";"I";"H";"x";;;
"10642";"2835";"FR7300924";"G02.02";"Station de ski";"I";"M";"-";;;
"10643";"2835";"FR7300924";"G05";"Autres intrusions et perturbations humaines";"I";"L";"x";;;
"10644";"2835";"FR7300924";"G05.01";"Piétinement, surfréquentation";"I";"M";"-";;;
"10645";"2835";"FR7300924";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"I";"H";"-";;;
"10646";"2835";"FR7300924";"J02.01";"Comblement et assèchement";"I";"H";"-";;;
"10647";"2835";"FR7300924";"K01.01";"Erosion";"I";"H";"-";;;
"10648";"2835";"FR7300924";"K02.03";"Eutrophisation (naturelle)";"I";"H";"-";;;
"10649";"2835";"FR7300924";"K05";"Diminution de la fécondité / dépression génétique";"I";"M";"-";;;
"10650";"2835";"FR7300924";"L04";"Avalanche";"I";"H";"x";;;
"10651";"2835";"FR7300924";"L05";"Eboulements, glissements de terrain";"I";"H";"x";;;
"53836";"6896";"FR7300921";"A04";"Pâturage";"I";"H";"+";;;
"53837";"6896";"FR7300921";"J01";"Incendies et lutte contre les incendies";"I";"M";"-";;;
"53838";"6896";"FR7300921";"G01.05";"Vol-à-voile, delta-plane, parapente, ballon";"I";"L";"-";;;
"53839";"6896";"FR7300921";"G01.06";"Ski, ski hors-piste";"I";"L";"-";;;
"53840";"6897";"FR7300925";"A04";"Pâturage";"I";"H";"+";;;
"53841";"6897";"FR7300925";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"53842";"6897";"FR7300925";"G01.02";"Randonnée, équitation et véhicules non-motorisés";"I";"H";"-";;;
"53843";"6897";"FR7300925";"G01.06";"Ski, ski hors-piste";"I";"L";"-";;;
"53844";"6897";"FR7300925";"G05";"Autres intrusions et perturbations humaines";"I";"M";"+";;;
"53845";"6897";"FR7300925";"G05.01";"Piétinement, surfréquentation";"I";"M";"-";;;
"53846";"6897";"FR7300925";"K01.01";"Erosion";"I";"L";"-";;;
"53847";"6897";"FR7300925";"K02";"Evolution biocénotique, succession végétale";"I";"L";"-";;;
"53848";"6897";"FR7300925";"L05";"Eboulements, glissements de terrain";"I";"L";"-";;;
"53849";"6898";"FR7300929";"A04";"Pâturage";"I";"N";"x";;;
"53850";"6898";"FR7300929";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"N";"x";;;
"53851";"6898";"FR7300929";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"N";"x";;;
"53852";"6898";"FR7300929";"D01.02";"Routes, autoroutes";"I";"N";"x";;;
"53853";"6898";"FR7300929";"F02.03";"Pêche de loisirs";"I";"N";"x";;;
"53854";"6898";"FR7300929";"F03.01";"Chasse";"I";"N";"x";;;
"53855";"6898";"FR7300929";"G01.02";"Randonnée, équitation et véhicules non-motorisés";"I";"N";"x";;;
"53856";"6898";"FR7300929";"G01.04";"Alpinisme, escalade, spéléologie";"I";"N";"x";;;
"53857";"6898";"FR7300929";"G01.06";"Ski, ski hors-piste";"I";"N";"x";;;
"53858";"6898";"FR7300929";"G05";"Autres intrusions et perturbations humaines";"I";"N";"x";;;
"53859";"6898";"FR7300929";"G05.01";"Piétinement, surfréquentation";"I";"N";"x";;;
"53860";"6898";"FR7300929";"I03.02";"Pollution génétique (plantes)";"I";"N";"x";;;
"53861";"6898";"FR7300929";"J02.05";"Modifications du fonctionnement hydrographique";"I";"N";"x";;;
"53862";"6898";"FR7300929";"K01.01";"Erosion";"I";"N";"x";;;
"53863";"6898";"FR7300929";"K02";"Evolution biocénotique, succession végétale";"I";"N";"x";;;
"53864";"6898";"FR7300929";"L04";"Avalanche";"I";"N";"x";;;
"53865";"6898";"FR7300929";"L05";"Eboulements, glissements de terrain";"I";"N";"x";;;
"53866";"6899";"FR7300930";"A04";"Pâturage";"I";"H";"+";;;
"49709";"6502";"FR2100338";"G05";"Autres intrusions et perturbations humaines";"I";"M";"-";;;
"49710";"6502";"FR2100338";"H06.01";"Nuisance et pollution sonores";"I";"M";"-";;;
"49715";"6504";"FR2200347";"A08";"Fertilisation";"B";"M";"-";;;
"49716";"6504";"FR2200347";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"L";"-";;;
"49717";"6504";"FR2200347";"C01.01";"Extraction de sable et graviers";"B";"L";"-";;;
"49718";"6504";"FR2200347";"A09";"Irrigation";"B";"H";"-";;;
"49719";"6504";"FR2200347";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"49720";"6504";"FR2200347";"J02.04";"Modifications du régime de mise en eau";"B";"H";"-";;;
"49721";"6504";"FR2200347";"J02.07";"Captage des eaux souterraines";"B";"H";"-";;;
"49722";"6504";"FR2200347";"K01.02";"Envasement";"I";"H";"-";;;
"49723";"6504";"FR2200347";"A04.02";"Pâturage extensif";"I";"H";"+";;;
"49724";"6504";"FR2200347";"A02.01";"Intensification agricole";"B";"M";"-";;;
"49725";"6504";"FR2200347";"A04.01";"Pâturage intensif";"I";"M";"-";;;
"49726";"6504";"FR2200347";"I01";"Espèces exotiques envahissantes";"B";"M";"-";;;
"49727";"6504";"FR2200347";"J02.01";"Comblement et assèchement";"B";"M";"-";;;
"49728";"6504";"FR2200347";"F03.01";"Chasse";"I";"H";"+";;;
"49729";"6504";"FR2200347";"H01.05";"Pollution diffuse des eaux de surface due aux activités agricoles ou forestières";"B";"M";"-";;;
"49730";"6504";"FR2200347";"H02.06";"Pollution diffuse des eaux souterraines due aux activités agricoles ou forestières";"B";"M";"-";;;
"49731";"6504";"FR2200347";"D01.02";"Routes, autoroutes";"O";"L";"-";;;
"49732";"6504";"FR2200347";"E01.02";"Urbanisation discontinue";"O";"L";"-";;;
"49733";"6504";"FR2200347";"E03.03";"Dépôts de matériaux inertes";"B";"L";"-";;;
"49734";"6505";"FR2200359";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"B";"H";"-";;;
"53867";"6899";"FR7300930";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"H";"-";;;
"53868";"6899";"FR7300930";"J02.05";"Modifications du fonctionnement hydrographique";"I";"M";"-";;;
"53869";"6900";"FR7300933";"A04";"Pâturage";"I";"H";"+";;;
"53870";"6900";"FR7300933";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"53871";"6900";"FR7300933";"B";"Sylviculture et opérations forestières";"I";"M";"+";;;
"41988";"5733";"FR3100505";"D01.02";"Routes, autoroutes";"I";"L";"x";;;
"41989";"5733";"FR3100505";"E01.01";"Urbanisation continue";"O";"M";"-";;;
"41990";"5733";"FR3100505";"F03.01";"Chasse";"I";"L";"x";;;
"41991";"5733";"FR3100505";"G01.03";"Véhicules motorisés";"I";"L";"-";;;
"41992";"5733";"FR3100505";"G05.01";"Piétinement, surfréquentation";"I";"L";"-";;;
"41993";"5733";"FR3100505";"H05";"Pollution des sols et déchets solides (hors décharges)";"I";"H";"+";;;
"41994";"5733";"FR3100505";"J02.01.03";"Comblement des fossés, digues, mares, étangs, marais ou trous";"I";"L";"-";;;
"41995";"5733";"FR3100505";"J02.12";"Endigages, remblais, plages artificielles";"I";"L";"-";;;
"41996";"5734";"FR3100506";"A01";"Mise en culture (y compris augmentation de la surface agricole)";"I";"M";"-";;;
"41997";"5734";"FR3100506";"A02";"Modification des pratiques culturales (y compris la culture perenne de produits forestiers non ligneux : oliviers, vergers, vignes…)";"I";"M";"-";;;
"41998";"5734";"FR3100506";"A04";"Pâturage";"I";"M";"x";;;
"41999";"5734";"FR3100506";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"42000";"5734";"FR3100506";"A07";"Utilisation de biocides, d'hormones et de produits chimiques";"I";"M";"-";;;
"42001";"5734";"FR3100506";"B";"Sylviculture et opérations forestières";"I";"M";"x";;;
"42002";"5734";"FR3100506";"B01.02";"Plantation forestière en terrain ouvert (espèces allochtones)";"I";"M";"-";;;
"42003";"5734";"FR3100506";"B02.01";"Replantation d'arbres dans une plantation forestière (après éclaircie…)";"I";"M";"-";;;
"42004";"5734";"FR3100506";"B02.02";"Coupe forestière (éclaircie, coupe rase…)";"I";"M";"-";;;
"42005";"5734";"FR3100506";"C01.01.01";"Carrières de sable et graviers";"I";"L";"+";;;
"53872";"6900";"FR7300933";"F03.01";"Chasse";"I";"L";"+";;;
"53873";"6900";"FR7300933";"I01";"Espèces exotiques envahissantes";"I";"M";"-";;;
"53874";"6900";"FR7300933";"K01.01";"Erosion";"I";"L";"-";;;
"42006";"5734";"FR3100506";"C01.01.01";"Carrières de sable et graviers";"O";"H";"-";;;
"42007";"5734";"FR3100506";"D01.02";"Routes, autoroutes";"I";"M";"x";;;
"42008";"5734";"FR3100506";"F03.01";"Chasse";"I";"M";"x";;;
"42009";"5734";"FR3100506";"H01";"Pollution des eaux de surfaces (limniques et terrestres, marines et saumâtres)";"I";"M";"-";;;
"42010";"5734";"FR3100506";"H05";"Pollution des sols et déchets solides (hors décharges)";"I";"L";"-";;;
"42011";"5734";"FR3100506";"J02.01.03";"Comblement des fossés, digues, mares, étangs, marais ou trous";"I";"L";"-";;;
"42012";"5734";"FR3100506";"J02.06";"Captages des eaux de surface";"I";"M";"-";;;
"42013";"5734";"FR3100506";"K01.03";"Assèchement";"I";"M";"-";;;
"53875";"6900";"FR7300933";"L05";"Eboulements, glissements de terrain";"I";"L";"-";;;
"53876";"6901";"FR7300936";"E01.03";"Habitations dispersées";"O";"N";"x";;;
"53877";"6901";"FR7300936";"G02.01";"Terrain de golf";"O";"N";"x";;;
"53878";"6901";"FR7300936";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"M";"-";;;
"53879";"6901";"FR7300936";"A09";"Irrigation";"O";"L";"-";;;
"53880";"6901";"FR7300936";"A04.02";"Pâturage extensif";"I";"L";"+";;;
"53881";"6901";"FR7300936";"I01";"Espèces exotiques envahissantes";"B";"M";"-";;;
"10686";"2838";"FR7300927";"A04";"Pâturage";"I";"N";"x";;;
"10687";"2838";"FR7300927";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"N";"x";;;
"10688";"2838";"FR7300927";"B";"Sylviculture et opérations forestières";"I";"N";"x";;;
"10689";"2838";"FR7300927";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"N";"x";;;
"10690";"2838";"FR7300927";"D05";"Amélioration de l'accessibilité au site";"I";"N";"x";;;
"10691";"2838";"FR7300927";"F02.03";"Pêche de loisirs";"I";"N";"x";;;
"10692";"2838";"FR7300927";"F03.01";"Chasse";"I";"N";"x";;;
"10693";"2838";"FR7300927";"G01.02";"Randonnée, équitation et véhicules non-motorisés";"I";"N";"x";;;
"10694";"2838";"FR7300927";"G01.04";"Alpinisme, escalade, spéléologie";"I";"N";"x";;;
"10695";"2838";"FR7300927";"G01.06";"Ski, ski hors-piste";"I";"N";"x";;;
"10696";"2838";"FR7300927";"G05";"Autres intrusions et perturbations humaines";"I";"N";"x";;;
"10697";"2838";"FR7300927";"G05.01";"Piétinement, surfréquentation";"I";"N";"x";;;
"10698";"2838";"FR7300927";"H05";"Pollution des sols et déchets solides (hors décharges)";"I";"N";"x";;;
"10699";"2838";"FR7300927";"H06.01";"Nuisance et pollution sonores";"I";"N";"x";;;
"10700";"2838";"FR7300927";"I03.02";"Pollution génétique (plantes)";"I";"N";"x";;;
"10701";"2838";"FR7300927";"K01.01";"Erosion";"I";"N";"x";;;
"10702";"2838";"FR7300927";"K01.03";"Assèchement";"I";"N";"x";;;
"10703";"2838";"FR7300927";"L04";"Avalanche";"I";"N";"x";;;
"10704";"2838";"FR7300927";"L05";"Eboulements, glissements de terrain";"I";"N";"x";;;
"10705";"2839";"FR7300928";"A04";"Pâturage";"I";"N";"x";;;
"10706";"2839";"FR7300928";"A04.03";"Abandon de systèmes pastoraux, sous-pâturage";"I";"N";"x";;;
"10707";"2839";"FR7300928";"B";"Sylviculture et opérations forestières";"I";"N";"x";;;
"10708";"2839";"FR7300928";"D01.01";"Sentiers, chemins, pistes cyclables (y compris route forestière)";"I";"N";"x";;;
"10709";"2839";"FR7300928";"D01.02";"Routes, autoroutes";"I";"N";"x";;;
"10710";"2839";"FR7300928";"D01.05";"Pont, viaduc";"I";"N";"x";;;
"10711";"2839";"FR7300928";"D05";"Amélioration de l'accessibilité au site";"I";"N";"x";;;
"10712";"2839";"FR7300928";"F01";"Aquaculture (eau douce et marine)";"I";"N";"x";;;
"10713";"2839";"FR7300928";"F02.03";"Pêche de loisirs";"I";"N";"x";;;
"10714";"2839";"FR7300928";"F03.01";"Chasse";"I";"N";"x";;;
"10715";"2839";"FR7300928";"G01.02";"Randonnée, équitation et véhicules non-motorisés";"I";"N";"x";;;
"10716";"2839";"FR7300928";"G01.04";"Alpinisme, escalade, spéléologie";"I";"N";"x";;;
"10717";"2839";"FR7300928";"G01.06";"Ski, ski hors-piste";"I";"N";"x";;;
