"PK_DESIGR";"FPK_NATURA";"SITECODE";"CD_MPRO";"LB_MPRO";"DES_SITE";"OVERLAP";"OVERLAP_P";"NM_SPN";"PARENT_ISO"
"16137";"7810";"FR2600971";"31";"Site inscrit selon la loi de 1930";"Site inscrit de la Côte chalonnaise";"*";"14";;"FRA"
"16143";"7812";"FR2601017";"53";"Réserve de chasse et de faune sauvage du domaine public fluvial";"Réserve de chasse du DPF de Digoin et Marcigny";;;;"FRA"
"16144";"7813";"FR4100172";"22";"Forêt non domaniale bénéficiant du régime forestier";"FC de Longeville les Saint Avold";;;;"FRA"
"16145";"7813";"FR4100172";"37";"Réserve naturelle volontaire";"RNVA de Longeville les Saint Avold";"*";"88";;"FRA"
"16146";"7813";"FR4100172";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"APB du Casteberg";"*";"1";;"FRA"
"16147";"7814";"FR4301280";"31";"Site inscrit selon la loi de 1930";"TOURBIERE DE FRASNE";"+";"4";;"FRA"
"16148";"7814";"FR4301280";"31";"Site inscrit selon la loi de 1930";"TOURBIERE ET MARAIS DE L'ECOULANS A BOUVERANS";"*";"1";;"FRA"
"16149";"7814";"FR4301280";"31";"Site inscrit selon la loi de 1930";"Lac Saint-point aux Grangettes";"*";"0";;"FRA"
"16150";"7814";"FR4301280";"31";"Site inscrit selon la loi de 1930";"Montagne du Larmont à la Cluse et Mijoux";"*";"3";;"FRA"
"16151";"7817";"FR4301294";"31";"Site inscrit selon la loi de 1930";"BELVEDERE DU FORT DE MONTFAUCON";"*";"0";;"FRA"
"16152";"7817";"FR4301294";"31";"Site inscrit selon la loi de 1930";"CHATEAU DE ROULANS";"*";"0";;"FRA"
"16153";"7817";"FR4301294";"31";"Site inscrit selon la loi de 1930";"CHATEAU DE VAITE A CHAMPLIVE";"*";"0";;"FRA"
"16154";"7817";"FR4301294";"31";"Site inscrit selon la loi de 1930";"GORGES DE L'AUDEUX A SILLEY-BLEFOND";"+";"0";;"FRA"
"16155";"7817";"FR4301294";"31";"Site inscrit selon la loi de 1930";"LE FAUTEUIL DE GARGANTUA A HIEVRE-PAROISSE";"*";"0";;"FRA"
"16156";"7817";"FR4301294";"31";"Site inscrit selon la loi de 1930";"LES FOSSES DE SAONE";"*";"0";;"FRA"
"16157";"7817";"FR4301294";"31";"Site inscrit selon la loi de 1930";"ROCHERS DU CHATARD ET CUSANCIN A BAUME-LES-DA";"*";"0";;"FRA"
"16158";"7817";"FR4301294";"31";"Site inscrit selon la loi de 1930";"SOURCES D'ARCIER A VAIRE-ARCIER";"*";"0";;"FRA"
"16159";"7817";"FR4301294";"31";"Site inscrit selon la loi de 1930";"SOURCES DU CUSANCIN ET LEURS ABORDS A CUSANCE";"*";"0";;"FRA"
"16160";"7817";"FR4301294";"31";"Site inscrit selon la loi de 1930";"VUES PANORAMIQUES SUR LAISSEY";"+";"0";;"FRA"
"16161";"7817";"FR4301294";"32";"Site classé selon la loi de 1930";"VALLEE DU CUSANCIN";"*";"12";;"FRA"
"16165";"7819";"FR4301338";"31";"Site inscrit selon la loi de 1930";"VILLAGE DE CHARIEZ";"*";"6";;"FRA"
"16166";"7819";"FR4301338";"32";"Site classé selon la loi de 1930";"LE SABOT DE FROTEY-LES-VESOUL";"+";"0";;"FRA"
"16167";"7820";"FR4301345";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Grottes et galeries de mines";"/";"0";"FR3800141";"FRA"
"16182";"7837";"FR7300926";"33";"Parc national, zone coeur";"Pyrénées [cœur]";"*";"32";"FR3300003";"FRA"
"16183";"7837";"FR7300926";"34";"Parc national, aire d'adhésion";"Pyrénées [aire d'adhésion]";"*";"68";"FR3400003";"FRA"
"16184";"7839";"FR7312001";"29";"Réserve biologique";"RBD de l'Isard";;"1";;"FRA"
"16185";"7839";"FR7312001";"32";"Site classé selon la loi de 1930";"Grotte de la Cigalère";;"0";;"FRA"
"16186";"7839";"FR7312001";"21";"Forêt domaniale";"FD du Biros et de Bonac";"+";"96";;"FRA"
"16187";"7840";"FR7312002";"21";"Forêt domaniale";"FD de Niaux";;"5";;"FRA"
"16188";"7840";"FR7312002";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Quiés calcaires de Tarascon et Grotte de la petite Caougno";;"18";;"FRA"
"16189";"7841";"FR7312003";"21";"Forêt domaniale";"Réserve de chasse et de faune sauvage du Mont Valier";;;;"FRA"
"16190";"7843";"FR7312005";"29";"Réserve biologique";"RBD de Burat Palarquère";;"5";;"FRA"
"16191";"7843";"FR7312005";"31";"Site inscrit selon la loi de 1930";"Site inscrit de Melles";;"39";;"FRA"
"16192";"7850";"FR7312012";"21";"Forêt domaniale";"FD des Hares";;"50";;"FRA"
"16193";"7850";"FR7312012";"22";"Forêt non domaniale bénéficiant du régime forestier";"FSI Orgeix-Orlu";;"24";;"FRA"
"16194";"7850";"FR7312012";"29";"Réserve biologique";"RBD du Laurenti";;"3";;"FRA"
"16195";"7850";"FR7312012";"51";"Réserve nationale de chasse et de faune sauvage";"Orlu";"+";"40";"FR5100004";"FRA"
"16204";"7862";"FR8201681";"32";"Site classé selon la loi de 1930";"Gorges d'Omblèze et cascade de la Druise";"+";"2";;"FRA"
"16205";"7862";"FR8201681";"80";"Parc naturel régional";"PNR du Vercors";"*";"75";;"FRA"
"16206";"7863";"FR8201686";"32";"Site classé selon la loi de 1930";"SITE CLASSE FORÊT DE SAOU";"=";"100";;"FRA"
"16207";"7865";"FR8201704";"31";"Site inscrit selon la loi de 1930";"Plateaux des Glières, de Dran et montagne des Auges";"*";"42";;"FRA"
"16208";"7865";"FR8201704";"23";"Réserve biologique dirigée";"Montagne des Frêtes";"+";"5";"FR2300144";"FRA"
"16209";"7865";"FR8201704";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Tourbière de Balme";"*";"3";"FR3800613";"FRA"
"16210";"7866";"FR8201705";"31";"Site inscrit selon la loi de 1930";"Site inscrit Montagne et lac de Lessy";"*";"3";;"FRA"
"16211";"7866";"FR8201705";"32";"Site classé selon la loi de 1930";"Site classé : Lac Bénit (0,1%)";"+";"0";;"FRA"
"16212";"7867";"FR8201708";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Mont de Grange";"*";"98";"FR3800221";"FRA"
"16213";"7868";"FR8201733";"31";"Site inscrit selon la loi de 1930";"Site inscrit Pâturage de la Croix de Chamrousse";"*";"18";;"FRA"
"16214";"7868";"FR8201733";"32";"Site classé selon la loi de 1930";"Site classé Cascade de l'Oursière";"+";"0";;"FRA"
"16215";"7868";"FR8201733";"32";"Site classé selon la loi de 1930";"Site classé Lac Achard";"*";"15";;"FRA"
"16216";"7868";"FR8201733";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Tourbière de l'Arselle";"*";"1";"FR3800611";"FRA"
"16217";"7868";"FR8201733";"32";"Site classé selon la loi de 1930";"Site classé Lacs Roberts";"+";"0";;"FRA"
"16219";"7870";"FR8201744";"13";"Terrain acquis par un département";"ENS Drôme";"+";"6";;"FRA"
"16220";"7870";"FR8201744";"13";"Terrain acquis par un département";"ENS Isère";"+";"19";;"FRA"
"16221";"7870";"FR8201744";"24";"Réserve biologique intégrale";"Vercors";"*";"8";"FR2400206";"FRA"
"16222";"7870";"FR8201744";"31";"Site inscrit selon la loi de 1930";"Site inscrit de Valcroissant (0 %)";"/";"0";;"FRA"
"16223";"7870";"FR8201744";"31";"Site inscrit selon la loi de 1930";"Site inscrit du cirque d'Archiane (0,4 %)";"/";"0";;"FRA"
"16224";"7870";"FR8201744";"31";"Site inscrit selon la loi de 1930";"Site inscrit du Pas de l'Aiguille (0,8 %) ";"*";"2";;"FRA"
"16225";"7870";"FR8201744";"32";"Site classé selon la loi de 1930";"Site classé du Pas de l'Aiguille (10,8 %)";"+";"11";;"FRA"
"16226";"7870";"FR8201744";"36";"Réserve naturelle nationale";"Hauts Plateaux du Vercors";"+";"81";"FR3600074";"FRA"
"16227";"7870";"FR8201744";"80";"Parc naturel régional";"Vercors";"-";"100";"FR8000001";"FRA"
"16228";"7870";"FR8201744";"29";"Réserve biologique";"RB du Vercors";"*";"9";;"FRA"
"16229";"7870";"FR8201744";"29";"Réserve biologique";"RB d'Archiane";"*";"0";;"FRA"
"16230";"7872";"FR8201751";"36";"Réserve naturelle nationale";"Haute Vallée du Béranger";"+";"1";"FR3600014";"FRA"
"16231";"7872";"FR8201751";"33";"Parc national, zone coeur";"Ecrins [cœur]";"*";"99";"FR3300005";"FRA"
"16232";"7872";"FR8201751";"34";"Parc national, aire d'adhésion";"Ecrins [aire d'adhésion]";"*";"1";"FR3400005";"FRA"
"16233";"7872";"FR8201751";"35";"Réserve intégrale de parc national";"Lauvitel";"+";"4";"FR3500001";"FRA"
"16234";"7872";"FR8201751";"31";"Site inscrit selon la loi de 1930";"Lac du Lauvitel et ses abords";"+";"0";;"FRA"
"16235";"7872";"FR8201751";"31";"Site inscrit selon la loi de 1930";"Lac Muzelle et ses abords";"+";"0";;"FRA"
"16239";"7876";"FR8201778";"32";"Site classé selon la loi de 1930";"Site classé du Mont Thabor";"=";"100";;"FRA"
"16240";"7877";"FR8201779";"33";"Parc national, zone coeur";"Vanoise [cœur]";"*";"2";"FR3300001";"FRA"
"16247";"7879";"FR8301086";"21";"Forêt domaniale";"Forêt domaniale du Meygal";"*";"73";;"FRA"
"16248";"7880";"FR8302021";"31";"Site inscrit selon la loi de 1930";"5 MONUMENTS INSCRITS";;;;"FRA"
"16249";"7880";"FR8302021";"32";"Site classé selon la loi de 1930";"3 MONUMENTS CLASSES";;;;"FRA"
"16250";"7880";"FR8302021";"32";"Site classé selon la loi de 1930";"SITE INSCRIT du bourg et de la vallée de l'AUMANCE";;;;"FRA"
"16255";"7884";"FR9110033";"33";"Parc national, zone coeur";"Cévennes [cœur]";"=";"100";"FR3300004";"FRA"
"16256";"7884";"FR9110033";"68";"Réserve de Biosphère";"réserve de biosphère des Cévennes";"-";"100";;"INT"
"16257";"7887";"FR9110080";"32";"Site classé selon la loi de 1930";"MASSIF DE LA CLAPE";"=";"100";;"FRA"
"16258";"7887";"FR9110080";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"MONTAGNE DE LA CLAPE";"+";"0";;"FRA"
"16259";"7888";"FR9110081";"32";"Site classé selon la loi de 1930";"GORGES DU GARDON";"*";"32";;"FRA"
"16260";"7888";"FR9110081";"32";"Site classé selon la loi de 1930";"PONT DU GARD";"+";"5";;"FRA"
"16261";"7889";"FR9110108";"11";"Terrain acquis par le Conservatoire du Littoral";"diverses propriétés";"*";"12";;"FRA"
"16262";"7890";"FR9110111";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"arrétés de protection du biotope de l'Aigle de Bonelli";"+";"2";;"FRA"
"16263";"7890";"FR9110111";"N37";;"FR9112008";"/";"0";;
"16264";"7890";"FR9110111";"N38";;"FR9112028";"/";"0";;
"16265";"7891";"FR9112001";"72";"Zone humide protégée par la convention de Ramsar";"Camargue";"+";"100";"FR7200006";"INT"
"16266";"7891";"FR9112001";"93";"Réserve naturelle régionale";"Scamandre";"+";"3";"FR9300033";"FRA"
"16267";"7891";"FR9112001";"93";"Réserve naturelle régionale";"Mahistre et Musette";"+";"4";;"FRA"
"16268";"7892";"FR9112002";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Arrêté de biotope de la commune de Mourèze";"+";"2";;"FRA"
"16269";"7893";"FR9112003";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Arrêté de biotope de la communede St Jean-de-Minervois";"+";"1";;"FRA"
"16270";"7894";"FR9112004";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"4 arrêtés  (Argeliers, Brissac, Le Rouet, St Bauzille de M.)";"+";"2";;"FRA"
"16271";"7895";"FR9112005";"11";"Terrain acquis par le Conservatoire du Littoral";"LA RIBERE (+ autres propriétés dans l'Aude)";"+";"1";;"FRA"
"16272";"7895";"FR9112005";"31";"Site inscrit selon la loi de 1930";"PLATEAU ET LES BOURGS DE LEUCATE ET LA FRANQUI";"-";"5";;"FRA"
"16273";"7895";"FR9112005";"52";"Réserve de chasse et de faune sauvage d'ACCA";"RESERVE DE CHASSE MARITIME DE LEUCATE";"+";"20";;"FRA"
"16274";"7896";"FR9112006";"11";"Terrain acquis par le Conservatoire du Littoral";"LES COUSSOULES";"-";"1";"FR1100350";"FRA"
"16275";"7896";"FR9112006";"31";"Site inscrit selon la loi de 1930";"PLATEAU ET BOURG DE LEUCATE ET DE LA FRANQUI";"*";"3";;"FRA"
"16276";"7896";"FR9112006";"80";"Parc naturel régional";"La Narbonnaise";"+";"100";"FR8000042";"FRA"
"16277";"7897";"FR9112007";"11";"Terrain acquis par le Conservatoire du Littoral";"diverses propriétés dans le périmètre";"-";"15";;"FRA"
"16278";"7897";"FR9112007";"31";"Site inscrit selon la loi de 1930";"AGGLOMERATION ET BORDURES DE L'ETANG DE BAGES";"*";"15";;"FRA"
"16279";"7897";"FR9112007";"31";"Site inscrit selon la loi de 1930";"ETANG DE GRUISSAN ET SES ABORDS";"*";"3";;"FRA"
"16280";"7897";"FR9112007";"31";"Site inscrit selon la loi de 1930";"ILES DE STE LUCIE, DE L'AUTE, DE LA PLANASSE ET DU SOUILIE";"*";"12";;"FRA"
"16281";"7897";"FR9112007";"32";"Site classé selon la loi de 1930";"CANAL DU MIDI";"*";"2";;"FRA"
"16282";"7897";"FR9112007";"71";"Zone de la Convention du Patrimoine Mondial (UNESCO)";"CANAL DU MIDI";"*";"2";;"INT"
"16283";"7897";"FR9112007";"80";"Parc naturel régional";"La Narbonnaise";"+";"100";"FR8000042";"FRA"
"16284";"7897";"FR9112007";"93";"Réserve naturelle régionale";"Sainte Lucie";"*";"10";"FR9300036";"FRA"
"16285";"7898";"FR9112008";"21";"Forêt domaniale";"FORET DOMANIALE DE FONTFROIDE";"-";"2";;"FRA"
"16286";"7898";"FR9112008";"21";"Forêt domaniale";"FORET DOMANIALE DES CORBIERES ORIENTALES";"*";"2";;"FRA"
"16287";"7898";"FR9112008";"22";"Forêt non domaniale bénéficiant du régime forestier";"PNR DE LA NARBONNAISE EN MEDITERRANEE";"*";"25";;"FRA"
"16288";"7898";"FR9112008";"31";"Site inscrit selon la loi de 1930";"GORGES DE TURI OU DE RIPAUD";"*";"1";;"FRA"
"16289";"7898";"FR9112008";"31";"Site inscrit selon la loi de 1930";"MONT SAINT VICTOR ET SON ERMITAGE";"-";"2";;"FRA"
"16290";"7898";"FR9112008";"32";"Site classé selon la loi de 1930";"TERRAINS ENTOURANT  L'ABBAYE DE FONTFROIDE";"-";"2";;"FRA"
"16291";"7901";"FR9112011";"21";"Forêt domaniale";"FD DE LA SERRANE";"*";"2";;"FRA"
"16292";"7901";"FR9112011";"21";"Forêt domaniale";"FD DE LA VIS";"*";"5";;"FRA"
"16293";"7901";"FR9112011";"22";"Forêt non domaniale bénéficiant du régime forestier";"diverses forêts communales";"*";"3";;"FRA"
"16294";"7901";"FR9112011";"31";"Site inscrit selon la loi de 1930";"CIRQUE DE NAVACELLES ET GORGES";"-";"5";;"FRA"
"16295";"7901";"FR9112011";"32";"Site classé selon la loi de 1930";"ABORDS DU CIRQUE DE NAVACELLES";"*";"2";;"FRA"
"16296";"7902";"FR9112012";"21";"Forêt domaniale";"FORET DOMANIALE DE LA FAGE";"-";"10";;"FRA"
"16297";"7902";"FR9112012";"22";"Forêt non domaniale bénéficiant du régime forestier";"FORET COMMUNALE DE MOULES ET BAUCELS";"+";"100";;"FRA"
"16298";"7903";"FR9112013";"11";"Terrain acquis par le Conservatoire du Littoral";"PNR de Camargue";"*";"25";;"FRA"
"16299";"7903";"FR9112013";"31";"Site inscrit selon la loi de 1930";"Site inscrit de la Camargue";"*";"20";;"FRA"
"16300";"7903";"FR9112013";"32";"Site classé selon la loi de 1930";"Etang de la Ville et ses abords";"+";"2";;"FRA"
"16301";"7903";"FR9112013";"32";"Site classé selon la loi de 1930";"panorama découvert depuis la voie littorale";"*";"1";;"FRA"
"16302";"7903";"FR9112013";"32";"Site classé selon la loi de 1930";"Pointe de l'Espiguette et Rhône de St Roman";"*";"4";;"FRA"
"16303";"7903";"FR9112013";"72";"Zone humide protégée par la convention de Ramsar";"Camargue";"*";"75";"FR7200006";"INT"
"16304";"7903";"FR9112013";"80";"Parc naturel régional";"domaines de capelude, Terre Neuve et La Janine";"*";"3";;"FRA"
"16305";"7904";"FR9112014";"31";"Site inscrit selon la loi de 1930";"gorges de la Dourbie";"+";"2";;"FRA"
"16306";"7904";"FR9112014";"34";"Parc national, aire d'adhésion";"Cévennes [aire d'adhésion]";"*";"85";"FR3400004";"FRA"
"16307";"7907";"FR9112017";"11";"Terrain acquis par le Conservatoire du Littoral";"COTE DE PLAGNOL";"*";"1";;"FRA"
"16308";"7907";"FR9112017";"11";"Terrain acquis par le Conservatoire du Littoral";"LE GRAND TRAVERS";"+";"4";;"FRA"
"16309";"7907";"FR9112017";"11";"Terrain acquis par le Conservatoire du Littoral";"LE PETIT COGUL";"+";"1";;"FRA"
"16310";"7907";"FR9112017";"11";"Terrain acquis par le Conservatoire du Littoral";"LE PETIT TRAVERS";"+";"2";;"FRA"
"16311";"7907";"FR9112017";"11";"Terrain acquis par le Conservatoire du Littoral";"TARTUGUIERES";"+";"5";;"FRA"
"16312";"7907";"FR9112017";"31";"Site inscrit selon la loi de 1930";"STATION DE LA GRANDE MOTTE (site inscrit)";"*";"1";;"FRA"
"16313";"7907";"FR9112017";"32";"Site classé selon la loi de 1930";"ETANG DE MAUGUIO";"+";"69";;"FRA"
"16314";"7907";"FR9112017";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Marais de la Castillone";"+";"1";"FR3800176";"FRA"
"16315";"7907";"FR9112017";"72";"Zone humide protégée par la convention de Ramsar";"Petite Camargue";"*";"84";"FR7200017";"INT"
"16316";"7908";"FR9112018";"11";"Terrain acquis par le Conservatoire du Littoral";"LIDO DE SETE";"+";"1";;"FRA"
"16317";"7908";"FR9112018";"11";"Terrain acquis par le Conservatoire du Littoral";"PRES DE BAUGE";"+";"1";;"FRA"
"16318";"7909";"FR9112019";"21";"Forêt domaniale";"FD DE L'ESPINOUSE";"*";"50";;"FRA"
"16319";"7909";"FR9112019";"22";"Forêt non domaniale bénéficiant du régime forestier";"FORET COMMUNALE DE CASTANET LE HAUT";"*";"15";;"FRA"
"16320";"7909";"FR9112019";"32";"Site classé selon la loi de 1930";"SC MASSIF DU CAROUX ET GORGES D'HERIC";"*";"20";;"FRA"
"16321";"7909";"FR9112019";"80";"Parc naturel régional";"Haut Languedoc";"-";"100";"FR8000016";"FRA"
"16322";"7911";"FR9112022";"31";"Site inscrit selon la loi de 1930";"Site inscrit du château de Preignes";"+";"1";;"FRA"
"16323";"7911";"FR9112022";"32";"Site classé selon la loi de 1930";"Site classé du canal du Midi";"*";"1";;"FRA"
"16324";"7911";"FR9112022";"71";"Zone de la Convention du Patrimoine Mondial (UNESCO)";"Canal du Midi";"*";"1";;"INT"
"16325";"7912";"FR9112023";"32";"Site classé selon la loi de 1930";"Site classé de l'Anse de Terrimbo";"*";"3";;"FRA"
"16326";"7912";"FR9112023";"21";"Forêt domaniale";"Forêt domaniale de Cerbère";"*";"5";;"FRA"
"16327";"7912";"FR9112023";"21";"Forêt domaniale";"Forêt domaniale des Albères";"*";"5";;"FRA"
"16328";"7912";"FR9112023";"36";"Réserve naturelle nationale";"Réserve naturelle de la Massane";"+";"20";;"FRA"
"16329";"7912";"FR9112023";"32";"Site classé selon la loi de 1930";"Site classé du Bassin de la Baillaury";"*";"25";;"FRA"
"16330";"7912";"FR9112023";"32";"Site classé selon la loi de 1930";"Site classé du cap des Abeilles";"*";"2";;"FRA"
"16331";"7912";"FR9112023";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale de Banyuls";"*";"5";;"FRA"
"16332";"7912";"FR9112023";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale d'Argelès";"*";"5";;"FRA"
"16333";"7914";"FR9112027";"21";"Forêt domaniale";"FORET DOMANIALE DES CORBIERES ORIENTALES";"*";"5";;"FRA"
"16334";"7915";"FR9112028";"90";"Autre protection";"SIC VALLEE DE L'ORBIEU";"*";"35";;"FRA"
"16335";"7915";"FR9112028";"90";"Autre protection";"SIC VALLEE DU TORGAN";"*";"1";;"FRA"
"16336";"7915";"FR9112028";"90";"Autre protection";"GROTTE DE LAVALETTE";"+";"1";;"FRA"
"16337";"7915";"FR9112028";"21";"Forêt domaniale";"FORET DOMANIALE DES CORBIERES OCCIDENTALES";"*";"3";;"FRA"
"16338";"7915";"FR9112028";"31";"Site inscrit selon la loi de 1930";"VALLEE DE L'ORBIEU (site inscrit)";"-";"1";;"FRA"
"16339";"7916";"FR9112029";"21";"Forêt domaniale";"FORET DOMANIALE D'ENTRE VALLS";"*";"10";;"FRA"
"16340";"7917";"FR9112030";"11";"Terrain acquis par le Conservatoire du Littoral";"PNR DE LA NARBONNAISE EN MEDITERRANEE";"+";"100";;"FRA"
"16341";"7917";"FR9112030";"31";"Site inscrit selon la loi de 1930";"PLATEAU ET BOURGS DE LEUCATE ET LA FRANQUI";"*";"100";;"FRA"
"16342";"7917";"FR9112030";"80";"Parc naturel régional";"PLATAU DE LA FRANQUI (plusieurs propriétés)";"-";"2";;"FRA"
"16343";"7918";"FR9112031";"32";"Site classé selon la loi de 1930";"site classé des Gorges du Gardon";"*";"31";;"FRA"
"16344";"7919";"FR9112032";"31";"Site inscrit selon la loi de 1930";"Abords du cirque de Navacelles et des gorges de la Vis";"*";"2";;"FRA"
"16345";"7920";"FR9112033";"31";"Site inscrit selon la loi de 1930";"Concluses";"+";"3";;"FRA"
"16346";"7920";"FR9112033";"31";"Site inscrit selon la loi de 1930";"Hameau de le Roux";"+";"1";;"FRA"
"16347";"7920";"FR9112033";"31";"Site inscrit selon la loi de 1930";"Mont Bouquet";"+";"2";;"FRA"
"16348";"7920";"FR9112033";"31";"Site inscrit selon la loi de 1930";"Ruisseau et ses abords";"+";"1";;"FRA"
"16349";"7920";"FR9112033";"31";"Site inscrit selon la loi de 1930";"Village de Lussan  et ses abords";"+";"1";;"FRA"
"16350";"7920";"FR9112033";"31";"Site inscrit selon la loi de 1930";"Village de Montclus et ses abords";"+";"1";;"FRA"
"16351";"7920";"FR9112033";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Les Concluses";"+";"1";"FR3800181";"FRA"
"16352";"7920";"FR9112033";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Secteur nord du massif du Bouquet";"+";"1";"FR3800179";"FRA"
"16353";"7921";"FR9112037";"N42";;"FR9101393 - SIC Montagne de la Moure et Causse d'Aumelas";"*";"92";;
"16355";"7924";"FR2100290";"80";"Parc naturel régional";"Forêt d'Orient";;"100";"FR8000013";"FRA"
"16356";"7928";"FR2100332";"36";"Réserve naturelle nationale";"Etang de la Horre";;"60";"FR3600149";"FRA"
"16357";"7928";"FR2100332";"72";"Zone humide protégée par la convention de Ramsar";"Etangs de la Champagne humide";;"100";"FR7200004";"INT"
"16358";"7929";"FR2100339";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Anciennes carrières souterraines";;"53";"FR3800475";"FRA"
"16359";"7929";"FR2100339";"72";"Zone humide protégée par la convention de Ramsar";"Etangs de la Champagne humide";;"85";"FR7200004";"INT"
"16360";"7929";"FR2100339";"80";"Parc naturel régional";"Forêt d'Orient";;"85";"FR8000013";"FRA"
"16366";"7933";"FR2600965";"15";"Terrain acquis par un conservatoire d'espaces naturels";"""La Saulaie"" à Germigny";;"1";;"FRA"
"16367";"7933";"FR2600965";"36";"Réserve naturelle nationale";"Val de Loire";;"27";"FR3600127";"FRA"
"16368";"7933";"FR2600965";"53";"Réserve de chasse et de faune sauvage du domaine public fluvial";"Réserve de chasse : DPF entre la Charité et Bois Gibault";;"20";;"FRA"
"16375";"7937";"FR2601015";"31";"Site inscrit selon la loi de 1930";"Bois les Garennes à St Honoré-les-bains";"+";"0";;"FRA"
"16376";"7937";"FR2601015";"31";"Site inscrit selon la loi de 1930";"Château et Parc de LarocheMillay";"+";"0";;"FRA"
"16377";"7937";"FR2601015";"31";"Site inscrit selon la loi de 1930";"Mont Beuvray parcelles inscrites";"+";"0";;"FRA"
"16378";"7937";"FR2601015";"32";"Site classé selon la loi de 1930";"Mont Beuvray";"*";"0";;"FRA"
"16379";"7937";"FR2601015";"80";"Parc naturel régional";"Morvan";"*";"50";"FR8000025";"FRA"
"16380";"7938";"FR4100199";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"APB Drumont-Tête de Fellering";"/";"0";;"FRA"
"16381";"7938";"FR4100199";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"APB Neufs-Bois";"*";"1";;"FRA"
"16382";"7938";"FR4100199";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"PNR Ballons des Vosges";"-";"100";;"FRA"
"16383";"7939";"FR4100203";"21";"Forêt domaniale";"FD de Gerardmer";"*";"20";;"FRA"
"16384";"7939";"FR4100203";"29";"Réserve biologique";"RBD de la Chaume charlemagne";"+";"20";;"FRA"
"16385";"7939";"FR4100203";"31";"Site inscrit selon la loi de 1930";"Site inscrit : Schlucht/Hohneck";"-";"3";;"FRA"
"16386";"7939";"FR4100203";"80";"Parc naturel régional";"Ballons des Vosges";"+";"100";"FR8000006";"FRA"
"16387";"7940";"FR4100204";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt des hospices de Nancy";"+";"5";;"FRA"
"16388";"7940";"FR4100204";"31";"Site inscrit selon la loi de 1930";"Site inscrit : Schlucht / Hohneck";"+";"100";;"FRA"
"16389";"7940";"FR4100204";"36";"Réserve naturelle nationale";"Tanet-Gazon du Faing";"-";"95";"FR3600093";"FRA"
"16390";"7940";"FR4100204";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"APB sur 140 ha";"+";"28";;"FRA"
"16391";"7940";"FR4100204";"80";"Parc naturel régional";"Ballons des Vosges";"-";"100";"FR8000006";"FRA"
"16392";"7941";"FR4201796";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Parcelles acquises par le Conservatoire des Sites Alsaciens";;"1";;"FRA"
"16393";"7941";"FR4201796";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêt communale de Wissembourg, Salmbach et Niederlauterbach";;"88";;"FRA"
"16394";"7941";"FR4201796";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"A.P.B. de la basse vallée de la Lauter";"+";"8";;"FRA"
"16395";"7941";"FR4201796";"38";"Arrêté de protection de biotope, d’habitat naturel ou de site d’intérêt géologique";"Marais d'Altenstadt";"+";"3";"FR3800125";"FRA"
"16396";"7942";"FR4212813";"15";"Terrain acquis par un conservatoire d'espaces naturels";"Sites acquis par le conservatoire des sites alsaciens";;"0";;"FRA"
"16397";"7942";"FR4212813";"21";"Forêt domaniale";"Forêt domaniale de Sélestat";;"2";;"FRA"
"16398";"7942";"FR4212813";"22";"Forêt non domaniale bénéficiant du régime forestier";"Forêts communalrs de Sélestat, Muttersholtz...";;"37";;"FRA"
"16399";"7942";"FR4212813";"24";"Réserve biologique intégrale";"Muttersholtz";;"0";;"FRA"
"16430";"7945";"FR4301317";"N77";;"Grottes d'Osselle à Roset-Fluans";;"0";;
